"ID","Name","BB_Percentage_MLB","BB_Percentage_MiLB","K_Percentage_MLB","K_Percentage_MiLB","BB_to_K_MLB","BB_to_K_MiLB","AVG_MLB","AVG_MiLB","OBP_MLB","OBP_MiLB","SLG_MLB","SLG_MiLB","OPS_MLB","OPS_MiLB","ISO_MLB","ISO_MiLB","Spd_MLB","Spd_MiLB","BABIP_MLB","BABIP_MiLB","wSB_MLB","wSB_MiLB","wRC_MLB","wRC_MiLB","wRAA_MLB","wRAA_MiLB","wOBA_MLB","wOBA_MiLB","wRCplus_MLB","wRCplus_MiLB"
"12037","Jon Berti",0.109,0.133,0.242,0.237,0.45,0.96,0.247,0.382,0.341,0.496,0.362,0.527,0.703,0.734,0.115,0.102,6.6,9.6,0.322,0.444,2.6,1.8,86,37,-3.5,1.8,0.312,0.478,96,152
"12090","Yefri Perez",0,0.121,0.333,0.267,0,0.72,0.667,0.348,0.667,0.44,1,0.469,1.667,0.617,0.333,0.075,6.3,9.8,1,0.434,0,2.3,1,30,1,-6.1,0.707,0.425,361,108
"12092","Niko Goodrum",0.092,0.133,0.307,0.352,0.3,0.56,0.23,0.395,0.303,0.499,0.396,0.635,0.7,0.821,0.167,0.18,6.2,8.6,0.313,0.524,2.7,1,162,42,-18.8,1.4,0.302,0.522,88,177
"12101","Kennys Vargas",0.076,0.186,0.292,0.317,0.26,0.85,0.252,0.4,0.311,0.539,0.437,0.702,0.748,0.876,0.185,0.213,1.7,3.1,0.322,0.472,-0.5,-0.3,103,67,4.1,18,0.322,0.559,100,207
"12110","David Washington",0,0.227,0.833,0.411,0,1.12,0,0.371,0,0.535,0,0.683,0,0.853,0,0.214,0.1,4.4,0,0.493,0,-0.6,-1,46,-1.6,8.2,0,0.545,-100,197
"12119","Matt Skole",0.097,0.229,0.366,0.372,0.26,0.93,0.217,0.397,0.29,0.571,0.277,0.716,0.567,0.854,0.06,0.212,1.4,5.4,0.347,0.497,-0.1,0.4,6,74,-5.2,18.7,0.255,0.576,56,204
"12138","Ryan Brett",0.25,0.07,0,0.258,1,0.46,0.667,0.386,0.75,0.45,1,0.573,1.75,0.736,0.333,0.133,0.1,9.1,0.667,0.443,0,2.1,2,37,1.3,2.8,0.706,0.463,371,146
"12140","Juniel Querecuto",0,0.105,0.545,0.235,0,0.67,0.091,0.381,0.091,0.462,0.273,0.493,0.364,0.656,0.182,0.072,5.1,6.9,0.2,0.457,0,0,0,37,-1.6,-4.4,0.143,0.443,-20,129
"12144","Max Kepler",0.102,0.134,0.184,0.203,0.55,0.96,0.233,0.362,0.317,0.461,0.439,0.567,0.756,0.729,0.206,0.144,4.4,7.6,0.248,0.411,-1.1,0.8,365,55,12.4,15.1,0.323,0.468,101,146
"12147","Nick Ahmed",0.069,0.116,0.193,0.235,0.36,0.7,0.236,0.334,0.291,0.459,0.38,0.56,0.671,0.657,0.145,0.135,4.9,8,0.273,0.344,-2.5,2.1,279,63,-68.1,-3.6,0.288,0.466,74,131
"12148","Kyle Kubitza",0.077,0.196,0.385,0.349,0.2,0.81,0.194,0.376,0.256,0.527,0.194,0.594,0.451,0.795,0,0.155,2.6,9.2,0.333,0.499,0,-1,1,87,-3.2,16.9,0.211,0.512,30,169
"12155","Eddie Rosario",0.049,0.093,0.185,0.23,0.27,0.6,0.275,0.405,0.309,0.47,0.473,0.662,0.782,0.812,0.198,0.182,5.3,7,0.301,0.446,-1.2,-0.8,420,47,30.7,8,0.329,0.508,105,172
"12158","Austin Barnes",0.12,0.196,0.228,0.201,0.52,1.53,0.227,0.478,0.335,0.622,0.354,0.72,0.689,0.869,0.127,0.15,4.6,7.1,0.285,0.527,0.8,0.8,127,77,-12.3,21.4,0.305,0.608,91,219
"12160","Ben Gamel",0.099,0.134,0.251,0.25,0.4,0.87,0.258,0.427,0.335,0.526,0.388,0.577,0.723,0.755,0.13,0.096,4.3,7.4,0.338,0.513,-3.9,0,212,45,-5.4,1.8,0.315,0.507,97,167
"12161","Xander Bogaerts",0.085,0.112,0.183,0.237,0.46,0.63,0.29,0.5,0.353,0.588,0.459,1.011,0.812,1.042,0.169,0.309,4.5,5,0.332,0.521,3.9,-0.8,690,58,128.4,17,0.348,0.71,116,307
"12164","Miguel Sano",0.116,0.18,0.365,0.391,0.32,0.71,0.238,0.424,0.329,0.555,0.491,0.808,0.819,0.977,0.253,0.272,2.7,4.4,0.329,0.523,-2,0.1,403,49,68.3,16.7,0.347,0.599,118,232
"12174","Jorge Bonifacio",0.087,0.137,0.278,0.292,0.31,0.71,0.242,0.402,0.312,0.506,0.393,0.641,0.705,0.798,0.152,0.163,2.9,6.8,0.316,0.484,-1.1,-0.5,90,56,-8.5,3.9,0.306,0.514,88,171
"12179","Maikel Franco",0.066,0.09,0.155,0.219,0.42,0.6,0.246,0.379,0.297,0.454,0.423,0.637,0.72,0.748,0.177,0.176,1.9,4.7,0.257,0.404,-1.2,-0.3,345,54,-36.8,10.8,0.304,0.492,87,160
"12180","Jorge Alfaro",0.043,0.074,0.338,0.339,0.13,0.26,0.258,0.383,0.309,0.473,0.399,0.655,0.707,0.805,0.141,0.186,3.8,5.9,0.374,0.463,0.4,-0.1,152,39,-16.4,2.3,0.303,0.51,89,169
